01,"Piemonte",4311217
02,"Valle d'Aosta / Vallée d'Aoste",125034
03,"Lombardia",10027602
04,"Trentino Alto Adige / Südtirol",1078069
05,"Veneto",4879133
06,"Friuli-Venezia Giulia",1206216
07,"Liguria",1524826
08,"Emilia-Romagna",4464119
09,"Toscana",3692555
10,"Umbria",870165
11,"Marche",1512672
12,"Lazio",5755700
13,"Abruzzo",1293941
14,"Molise",300516
15,"Campania",5712143
16,"Puglia",3953305
17,"Basilicata",553254
18,"Calabria",1894110
19,"Sicilia",4875290
20,"Sardegna",1611621
21,"Provincia Autonoma Bolzano / Bozen",532644
22,"Provincia Autonoma Trento",545425
